"","Brand","Sort","ABV","Brewery","ABV2"
"1","3 Schténg","high fermentation","6%","Brasserie Grain d'Orge",6
"2","IV Saison","saison","6.5%","Brasserie de Jandrain-Jandrenouille",6.5
"3","V Cense","high fermentation","7.5%","Brasserie de Jandrain-Jandrenouille",7.5
"4","VI Wheat","high fermentation, wheat beer","6%","Brasserie de Jandrain-Jandrenouille",6
"5","Aardmonnik","oud bruin","8%","De Struise Brouwers",8
"6","Aarschotse Bruine","brown ale","6%","Stadsbrouwerij Aarschot",6
"7","Abbay d'Aulne Blonde des Pères 6","Abbey Beer, blond","6%","Brasserie Val de Sambre",6
"8","Abbay d'Aulne Brune des Pères 6","Abbey Beer, bruin","6%","Brasserie Val de Sambre",6
"9","Abbay d'Aulne Super Noël 9","Abbey Beer, kerstbier","9%","Brasserie Val de Sambre",9
"10","Abbay d'Aulne Triple Blonde","Abbey Beer, tripel","8%","Brasserie Val de Sambre",8
"11","Abbay d'Aulne Triple Brune","Abbey Beer, tripel","8%","Brasserie Val de Sambre",8
"12","Abbay d'Aulne Val de Sambre","Abbey Beer, amber","6.4%","Brasserie Val de Sambre",6.4
"13","Abbaye de Bonne-Espérance","Abbey Beer","7.8%","brewery Lefebvre",7.8
"14","Abbaye de Forest","Abbey Beer, tripel","6.5%","Brasserie de Silly",6.5
"15","Abbaye de la Thure","Abbey Beer","10%","Brasserie Brootcoorens",10
"16","Abbaye de Saint-Martin Blonde","Abbey Beer","7%","Brasserie de Brunehaut",7
"17","Abbaye de Saint-Martin Brune","Abbey Beer","8%","Brasserie de Brunehaut",8
"18","Abbaye de Saint-Martin Cuvée de Noël","Abbey Beer, kerstbier","8.5%","Brasserie de Brunehaut",8.5
"19","Abbaye de Saint-Martin Triple","Abbey Beer, tripel","9%","Brasserie de Brunehaut",9
"20","Abbaye de Oudkerken","Abbey Beer","6.2%","brewery Lefebvre",6.2
"21","Abbaye des Rocs Blonde","Abbey Beer, high fermentation","7.5%","Brasserie de l'Abbaye des Rocs",7.5
"22","Abbaye des Rocs Brune","Abbey Beer bruin","9%","Brasserie de l'Abbaye des Rocs",9
"23","Abbaye des Rocs Grand Cru","Abbey Beer ale","9.5%","Brasserie de l'Abbaye des Rocs",9.5
"24","Abbaye des Rocs Spéciale Noël","Abbey Beer, kerstbier","9%","Brasserie de l'Abbaye des Rocs",9
"25","Abdis Blond","blond","6.5%","Brewery Riva",6.5
"26","Abdis Bruin","bruin","6.5%","Brewery Riva",6.5
"27","Abdis Tripel","tripel","8.2%","Brewery Riva",8.2
"28","Abdij van Roosenberg Dubbel","dubbel","7%","Brewery Van Steenberge",7
"29","Abdij van Roosenberg Tripel","Tripel","9%","brewery Van Steenberge",9
"30","Achel 5 Blond","trappist, blond","5%","Achelse Kluis",5
"31","Achel 5 Bruin","trappist, bruin","5%","Achelse Kluis",5
"32","Achel 8 Blond","trappist, blond","8%","Achelse Kluis",8
"33","Achel 8 Bruin","trappist, bruin","8%","Achelse Kluis",8
"34","Achel Blond Extra","trappist, blond","9.5%","Achelse Kluis",9.5
"35","Achel Bruin Extra","trappist, bruin","9.5%","Achelse Kluis",9.5
"36","Adelardus","Abbey Beer","7%","Brewery Sint-Jozef voor Brewery Kerkom",7
"37","Adelardus Tripel","Abbey Beer, tripel","9%","Brewery Sint-Jozef voor Brewery Kerkom",9
"38","Adler","pils","6.5%","Brewery Haacht",6.5
"39","Adriaen Brouwer","high fermentation, bruin","5%","Brewery Roman",5
"40","Adriaen Brouwer Dark Gold","high fermentation, bruin","8.5%","Brewery Roman",8.5
"41","Affligem Blond","Abbey Beer, blond","6.8%","Affligem Brewery (vroeger Brewery De Smedt nu deel van Heineken)",6.8
"42","Affligem Dubbel","Abbey Beer, bruin","6.8%","Affligem Brewery (Heineken)",6.8
"43","Affligem 950 Cuvee","Abbey Beer, blond","6.8%","Affligem Brewery (Heineken)",6.8
"44","Affligem Noël","Abbey Beer, kerstbier","9%","Affligem Brewery (Heineken)",9
"45","Affligem Patersvat","Abbey Beer, dubbel gehopt","6.8%","Affligem Brewery (Heineken)",6.8
"46","Affligem Tripel","Abbey Beer, tripel","8.5%","Affligem Brewery (Heineken)",8.5
"47","Agrumbocq","high fermentation, witbier, fruitbier","3.1%","Brasserie du Bocq",3.1
"48","Alpaïde","donkere tripel","10%","Brewery Nieuwhuys",10
"49","Alpaïde Cuvée van de generaal","blonde tripel","8.5%","Brewery Nieuwhuys",8.5
"50","Akila Pils","pils","5%","Brewery Louwaege",5
"51","Alfri","NA pils","0.5%","Brewery Roman",0.5
"52","Altitude 6","ale, blond","6%","Brasserie de l'Abbaye des Rocs",6
"53","Alvinne Extra Restyled","lichtamber","7%","Brewery Alvinne",7
"54","Alvinne Lex'ke","blond","6.3%","Brewery Alvinne",6.3
"55","Alvinne Tripel","tripel","8.7%","Brewery Alvinne",8.7
"56","Alvino Bourgogne Barrel OA","fruitbier, oak aged","5.5%","Brewery Alvinne",5.5
"57","Ambetanterik","stout","8.7%","Brewery Het Alternatief bij Brewery Alvinne",8.7
"58","Ambiorix","roodbruin","8%","Brewery Slaghmuylder",8
"59","Angélus Blonde","blond","7%","Brasserie Brootcoorens",7
"60","Angélus Brune","bruin","7%","Brasserie Brootcoorens",7
"61","Angélus Spéciale Noël","kerstbier","9%","Brasserie Brootcoorens",9
"62","Anker Blond","blond","6.5%","Brewery Het Anker",6.5
"63","Anker Boscoulis","fruitbier","6.5%","Brewery Het Anker",6.5
"64","Anker Herfstbok","bruin speciaalbier, bokbier","6.5%","Brewery Het Anker",6.5
"65","Anker Pils","pils","5%","Brewery Het Anker",5
"66","Antiek Blond","blond","8%","Brewery Deca",8
"67","Antiek Bruin","bruin","8%","Brewery Deca",8
"68","Antiek Super 5 Blond","blond","5%","Brewery Deca",5
"69","Antwerps Blond","blond","5%","Huisbrouwerij 't Pakhuis",5
"70","Antwerps Bruin","bruin","5.8%","Huisbrouwerij 't Pakhuis",5.8
"71","Applebocq","fruit beer","3.1%","Brasserie Du Bocq",3.1
"72","Arabier","blond","8%","De Dolle Brouwers",8
"73","Archiduc","","6.2%","Brasserie d'Ecaussinnes",6.2
"74","Arend Blond","blond","6.5%","Brewery De Ryck",6.5
"75","Arend Dubbel","donkerbruin","6.5%","Brewery De Ryck",6.5
"76","Arend Tripel","goudblond","8%","Brewery De Ryck",8
"77","Arend Winter","donker amber","6.3%","Brewery De Ryck",6.3
"78","Arendonker Bruin","bruin","8.5%","Dorpsbrouwerij Humulus",8.5
"79","Arendonker Tripel","goudblond","8%","Dorpsbrouwerij Humulus",8
"80","Armand’4 Herfst","oude geuze","6%","Geuzestekerij 3 Fonteinen",6
"81","Armand’4 Lente","oude geuze","6%","Geuzestekerij 3 Fonteinen",6
"82","Armand’4 Winter","oude geuze","6%","Geuzestekerij 3 Fonteinen",6
"83","Armand’4 Zomer","oude geuze","6%","Geuzestekerij 3 Fonteinen",6
"84","Artevelde","Speciale Belge","5.7%","Brewery Huyghe",5.7
"85","Artevelde Grand Cru","roodbruin","7.2%","Brewery Huyghe",7.2
"86","Asterie","witbier","4.ç%","Brasserie d'Ecaussinnes",NA
"87","Atomium Premier Grand Cru","amber","8%","Brewery Van Steenberge",8
"88","Augrenette","blond","4.5%","Brewery Augrenoise",4.5
"89","Augrenoise","troebel blond","6.5%","Brewery Augrenoise",6.5
"90","Augrenoise Blonde de Noël","troebel blond, kerstbier","10%","Brewery Augrenoise",10
"91","Augustijn Blond","Abbey Beer","7.5%","Brewery Van Steenberge",7.5
"92","Augustijn Donker","Abbey Beer","7%","Brewery Van Steenberge",7
"93","Augustijn Grand Cru","Abbey Beer, tripel","9%","Brewery Van Steenberge",9
"94","Authentic 621","bruin","7.5%","Authentique Brasserie",7.5
"95","Authentic Ambrée","amber","5%","Authentique Brasserie",5
"96","Authentic Blonde","blond","6.5%","Authentique Brasserie",6.5
"97","Authentic Blonde de Noël","kerstbier","9%","Authentique Brasserie",9
"98","Authentic Triple","tripel","9.5%","Authentique Brasserie",9.5
"99","L'Autruche Biere des Gilles","blond troebel","7%","Brasserie de Silenrieux",7
"100","Bacchus","oud bruin","4.5%","Brewery Van Honsebrouck",4.5
"101","Bacchus Frambozenbier","fruit beer","5%","Brewery Van Honsebrouck",5
"102","Bacchus Kriekenbier","fruitbier","5.8%","Brewery Van Honsebrouck",5.8
"103","Balthazar","winterbier","8.9%","Brewery Alvinne",8.9
"104","Barbãr","blond, honingbier","8%","Brewery Lefebvre",8
"105","Barbãr Winter Bok","bokbier, honingbier","8%","Brewery Lefebvre",8
"106","Barbe d'Or (Goldbeard)","blond","7.5%","Brewery Verhaeghe",7.5
"107","Barbe Noire (Blackbeard)","stout","9%","Brewery Verhaeghe",9
"108","Barbe Rouge (Redbeard)","amber","8%","Brewery Verhaeghe",8
"109","Bas","goudblond","6.5%","De Proefbrouwerij voor bierfirma Bas-bieren",6.5
"110","Bastogne Pale Ale","Belgian IPA","6.5%","Brasserie de Bastogne",6.5
"111","Basilius","amber","7%","De Proefbrouwerij voor ’t Brugs Bierinstituut",7
"112","Bavaro","blond, lage gisting","3.6%","Brewery Haacht",3.6
"113","Bavik Blond","tafelbier","1.5%","Brewery Bavik",1.5
"114","Bavik Faro","tafelbier","1.5%","Brewery Bavik",1.5
"115","Bavik Pony-Stout","stout","5.2%","Brewery Bavik",5.2
"116","Bavik Premium Pils","pils","5.2%","Brewery Bavik",5.2
"117","Bavik Triple Bock","bokbier","3%","Brewery Bavik",3
"118","Beer for Life","blond","6.5%","Brewery Dilewyns",6.5
"119","Beernems Berenbier","blond","7.5%","Brewery Van Steenberge voor BIVO Drinks",7.5
"120","Beersel Bio","blond","7%","Geuzestekerij 3 Fonteinen",7
"121","Beersel Blond","blond","7%","Geuzestekerij 3 Fonteinen",7
"122","Beersel Lager","pils","5.2%","Geuzestekerij 3 Fonteinen",5.2
"123","Bel Pils","pils","5%","Brewery Duvel Moortgat",5
"124","Belgian Angel Stout","stout","5.2%","Brasserie Brootcoorens",5.2
"125","Belgian Framboises","fruitbier","3.5%","Brasserie Lefebvre",3.5
"126","Belgian Kriek","fruitbier","3.5%","Brasserie Lefebvre",3.5
"127","Belgian Pêches","fruitbier","3.5%","Brasserie Lefebvre",3.5
"128","Belgoo Arboo","tripel, amber","8.1%","Brewery Belgoobeer bij Brewery La Binchoise",8.1
"129","Belgoo Magus","blond","6.6%","Brewery Belgoobeer bij Brewery La Binchoise",6.6
"130","Belgoo Maxus","goudblond","8.1%","Brewery Belgoobeer bij Brewery La Binchoise",8.1
"131","Belgoo Luppoo","goudblond","6.5%","Brewery Belgoobeer bij Brewery La Binchoise",6.5
"132","Bella Mère","blond","6.5%","Brasserie Millevertus",6.5
"133","Belle Cies","blond","10%","Huisbrouwerij Den Tseut",10
"134","Belle-Vue Framboise","fruitbier","5.7%","Brewery Belle-Vue (InBev)",5.7
"135","Belle-Vue Extra Framboise","fruitbier","2.9%","Brewery Belle-Vue (Inbev)",2.9
"136","Belle-Vue Kriek","kriek","5.2%","Brewery Belle-Vue (InBev)",5.2
"137","Belle-Vue Kriek Classique","Kriek","5.1%","Brewery Belle-Vue (Inbev)",5.1
"138","Belle-Vue Extra Kriek","kriek","4.3%","Brewery Belle-Vue (InBev)",4.3
"139","Belle-Vue Gueuze","lambiek","5.5%","Brewery Belle-Vue (InBev)",5.5
"140","Belle-Vue LA","Alcoholarm","1%","Brewery Belle-Vue (Inbev)",1
"141","Bellebier Amber","amber","5.2%","Brewery Van Steenberge voor Paeleman",5.2
"142","Bellebier Dubbel","bruin","6.2%","Brewery Van Steenberge voor Paeleman",6.2
"143","Bellebier Trippel","tripel","8%","Brewery Van Steenberge voor Paeleman",8
"144","Bellegems Bruin","Vlaams oud bruin","5.5%","Brewery Bockor",5.5
"145","Bellegems Witbier","witbier","5.0%","Brewery Bockor",5
"146","Belval","blond","4.8%","Gageleer",4.8
"147","Berentemmer","bruin","7%","Brewery Maenhout",7
"148","Bersalis Tripel","blond, high fermentation, tripel","9.5%","Brewery Huyghe voor Brewery Oud Beersel",9.5
"149","Bersalis Kadet","blond","4.5%","Brewery Huyghe voor Brewery Oud Beersel",4.5
"150","Betchard Brune","bruin","7%","Brasserie de Tubize",7
"151","Betchard Blonde","blond","5.5%","Brasserie de Tubize",5.5
"152","Bieken","blond","8%","Brewery Boelens",8
"153","Bierbeekse","blond-amber, high fermentation","7.3%","Brewery Van Steenberge voor de gemeente Bierbeek en Terclavers",7.3
"154","Bierbuik","donker","8%","De Verhuisbrouwerij",8
"155","Bière Darbyste","amber","5.8%","Brasserie de Blaugies",5.8
"156","Bière de Beloeil","high fermentation","8.5%","Brasserie Dupont",8.5
"157","Bière de Garde","biologisch, roodbruin","10%","Brewery Jessenhofke bij De Proefbrouwerij",10
"158","Bière de Miel Bio","biologisch, honingbier","8%","Brewery Dupont",8
"159","Bière des Ours (Berenbier)","honingbier","8.5%","Brasserie La Binchoise",8.5
"160","Bière du Corsaire Cuvée Spéciale","sterk blond","9.4%","Brewery Huyghe",9.4
"161","Bière du Mont Saint-Aubert","blond","8%","Brasserie de Brunehaut",8
"162","Bière Spéciale Belge","Spéciale Belge","5%","Brasserie La Binchoise",5
"163","Big Bavik","blond","5%","Brewery Bavik",5
"164","Bierpruver Dubbel Bruin","dubbel","7.5%","Huisbrouwerij de 3 vaten",7.5
"165","Bierpruver Tripel","tripel","9%","Huisbrouwerij de 3 vaten",9
"166","Bierpruver Winter","winterbier","8%","Huisbrouwerij de 3 vaten",8
"167","Bink Blond","Belgische pale ale","5.5%","Brewery Kerkom",5.5
"168","Bink Bruin","dubbel","5.5%","Brewery Kerkom",5.5
"169","Bink Bloesem","blond","7.1%","Brewery Kerkom",7.1
"170","Biolégère","biologisch, Saison","3.5%","Brouwerii Dupont",3.5
"171","Bitter Sweet Symphony","dubbele IPA","7.8%","Brewery 't Gaverhopke",7.8
"172","Bittere Waarheid","Belgian IPA","11%","Brewery Het Alternatief bij Brewery De Graal",11
"173","Black","donker, high fermentation","6.3%","Brasserie de Bellevaux",6.3
"174","Black Albert","Belgian Royal Stout","13%","De Struise Brouwers bij Brewery Deca",13
"175","Black Damnation I","Russian Imperial Stout","13%","De Struise Brouwers bij Brewery Deca",13
"176","Black Damnation II (Mocha Bomb)","Russian Imperial Stout","12%","De Struise Brouwers bij Brewery Deca",12
"177","Black Damnation III (Black Mes)","Russian Imperial Stout","13%","De Struise Brouwers bij Brewery Deca",13
"178","Black Damnation IV (Coffée Club)","Russian Imperial Stout","13%","De Struise Brouwers bij Brewery Deca",13
"179","Black Damnation V (Double Black)","Russian Imperial Stout, Eisbockmethode","26%","De Struise Brouwers bij Brewery Deca",26
"180","Black","donkere ale","6.3%","Brasserie de Bellevaux",6.3
"181","Black Ghost","high fermentation","8%","Brasserie Fantôme",8
"182","Black Hole","pils","5.6%","Brewery Roman",5.6
"183","Black Jack","Porter","7%","De Struise Brouwers bij Brewery Deca",7
"184","Blanche","witbier","4.8%","Brasserie de Bellevaux",4.8
"185","Blanche d'Ardenne","witbier","4.3%","Brasserie du Bocq voor Corsendonk nv",4.3
"186","Blanche de Bouillon","witbier","5.5%","Brasserie de Bouillon",5.5
"187","Blanche de Brabant","witbier","5%","Groep John Martin",5
"188","Blanche de Bruxelles","witbier","4.5%","Brewery Lefebvre",4.5
"189","Blanche de Charleroi","witbier","5%","Brasserie Val de Sambre",5
"190","Blanche de Namur","witbier","5.2%","Brasserie du Bocq",5.2
"191","Blanche de Tubize","witbier","4.8%","Brasserie de Tubize",4.8
"192","Blanche des Honnelles","witbier","6%","Brasserie de l'Abbaye des Rocs",6
"193","Blanche des Neiges","witbier","5%","Brewery Huyghe",5
"194","Blanche du Hainaut Bio","witbier, biologisch","5.5%","Brewery Dupont",5.5
"195","Blanchette de Gaume","witbier","5%","Brasserie Millevertus",5
